Company Name	Exchange:Ticker	Primary Industry	CIQID
"Conagra Brands, Inc."	NYSE:CAG	Packaged Foods and Meats	IQ26893
Concho Resources Inc.	NYSE:CXO	Oil and Gas Exploration and Production	IQ26906
ConocoPhillips	NYSE:COP	Oil and Gas Exploration and Production	IQ296527
"Consolidated Edison, Inc."	NYSE:ED	Multi-Utilities	IQ263295
"Constellation Brands, Inc."	NYSE:STZ	Distillers and Vintners	IQ258589
"Copart, Inc."	NasdaqGS:CPRT	Diversified Support Services	IQ27023
Corning Incorporated	NYSE:GLW	Electronic Components	IQ173840
"Corteva, Inc."	NYSE:CTVA	Fertilizers and Agricultural Chemicals	IQ319130234
Costco Wholesale Corporation	NasdaqGS:COST	Hypermarkets and Super Centers	IQ92817
Coty Inc.	NYSE:COTY	Personal Products	IQ795040
Crown Castle International Corp. (REIT)	NYSE:CCI	Specialized REITs	IQ27198
CSX Corporation	NasdaqGS:CSX	Railroads	IQ257948
Cummins Inc.	NYSE:CMI	Construction Machinery and Heavy Trucks	IQ265253
CVS Health Corporation	NYSE:CVS	Health Care Services	IQ93625
"D.R. Horton, Inc."	NYSE:DHI	Homebuilding	IQ107405
Danaher Corporation	NYSE:DHR	Health Care Equipment	IQ265621
"Darden Restaurants, Inc."	NYSE:DRI	Restaurants	IQ336160
DaVita Inc.	NYSE:DVA	Health Care Services	IQ35644
Deere & Company	NYSE:DE	Agricultural and Farm Machinery	IQ266112
"Delta Air Lines, Inc."	NYSE:DAL	Airlines	IQ266311
DENTSPLY SIRONA Inc.	NasdaqGS:XRAY	Health Care Supplies	IQ27504
Devon Energy Corporation	NYSE:DVN	Oil and Gas Exploration and Production	IQ266510
"DexCom, Inc."	NasdaqGS:DXCM	Health Care Equipment	IQ114039
"Diamondback Energy, Inc."	NasdaqGS:FANG	Oil and Gas Exploration and Production	IQ170245760
"Digital Realty Trust, Inc."	NYSE:DLR	Specialized REITs	IQ11041860
Discover Financial Services	NYSE:DFS	Consumer Finance	IQ3695566
"Discovery, Inc."	NasdaqGS:DISC.A	Broadcasting	IQ22666093
"Discovery, Inc."	NasdaqGS:DISC.K	Broadcasting	IQ22666093
DISH Network Corporation	NasdaqGS:DISH	Cable and Satellite	IQ110001
Dollar General Corporation	NYSE:DG	General Merchandise Stores	IQ266974
"Dollar Tree, Inc."	NasdaqGS:DLTR	General Merchandise Stores	IQ27685
"Dominion Energy, Inc."	NYSE:D	Multi-Utilities	IQ267105
"Domino's Pizza, Inc."	NYSE:DPZ	Restaurants	IQ3132512
Dover Corporation	NYSE:DOV	Industrial Machinery	IQ174901
Dow Inc.	NYSE:DOW	Commodity Chemicals	IQ9830660
DTE Energy Company	NYSE:DTE	Multi-Utilities	IQ266598
Duke Energy Corporation	NYSE:DUK	Electric Utilities	IQ267850
Duke Realty Corporation	NYSE:DRE	Industrial REITs	IQ267906
"DuPont de Nemours, Inc."	NYSE:DD	Specialty Chemicals	IQ768440
DXC Technology Company	NYSE:DXC	IT Consulting and Other Services	IQ263093
E*TRADE Financial Corporation	NasdaqGS:ETFC	Investment Banking and Brokerage	IQ27807
Eastman Chemical Company	NYSE:EMN	Diversified Chemicals	IQ109103
Eaton Corporation plc	NYSE:ETN	Electrical Components and Equipment	IQ175265
eBay Inc.	NasdaqGS:EBAY	Internet and Direct Marketing Retail	IQ27862
Ecolab Inc.	NYSE:ECL	Specialty Chemicals	IQ268799
Edison International	NYSE:EIX	Electric Utilities	IQ301891
Edwards Lifesciences Corporation	NYSE:EW	Health Care Equipment	IQ411220
Electronic Arts Inc.	NasdaqGS:EA	Interactive Home Entertainment	IQ27963
Eli Lilly and Company	NYSE:LLY	Pharmaceuticals	IQ285467
Emerson Electric Co.	NYSE:EMR	Electrical Components and Equipment	IQ269231
Entergy Corporation	NYSE:ETR	Electric Utilities	IQ269764
"EOG Resources, Inc."	NYSE:EOG	Oil and Gas Exploration and Production	IQ269660
Equifax Inc.	NYSE:EFX	Research and Consulting Services	IQ175749
"Equinix, Inc. (REIT)"	NasdaqGS:EQIX	Specialized REITs	IQ28202
Equity Residential	NYSE:EQR	Residential REITs	IQ28209
"Essex Property Trust, Inc."	NYSE:ESS	Residential REITs	IQ332646
"Everest Re Group, Ltd."	NYSE:RE	Reinsurance	IQ340813
"Evergy, Inc."	NYSE:EVRG	Electric Utilities	IQ283024
Eversource Energy	NYSE:ES	Electric Utilities	IQ292525
Exelon Corporation	NasdaqGS:EXC	Electric Utilities	IQ296181
"Expedia Group, Inc."	NasdaqGS:EXPE	Internet and Direct Marketing Retail	IQ25915843
"Expeditors International of Washington, Inc."	NasdaqGS:EXPD	Air Freight and Logistics	IQ270071
Extra Space Storage Inc.	NYSE:EXR	Specialized REITs	IQ8057672
Exxon Mobil Corporation	NYSE:XOM	Integrated Oil and Gas	IQ406338
"F5 Networks, Inc."	NasdaqGS:FFIV	Communications Equipment	IQ90323
"Facebook, Inc."	NasdaqGS:FB	Interactive Media and Services	IQ20765463
Fastenal Company	NasdaqGS:FAST	Trading Companies and Distributors	IQ270747
Federal Realty Investment Trust	NYSE:FRT	Retail REITs	IQ271305
FedEx Corporation	NYSE:FDX	Air Freight and Logistics	IQ124423
"Fidelity National Information Services, Inc."	NYSE:FIS	Data Processing and Outsourced Services	IQ10081196
Fifth Third Bancorp	NasdaqGS:FITB	Regional Banks	IQ270961
First Republic Bank	NYSE:FRC	Regional Banks	IQ272383
FirstEnergy Corp.	NYSE:FE	Electric Utilities	IQ293515
"Fiserv, Inc."	NasdaqGS:FISV	Data Processing and Outsourced Services	IQ128209
"FLEETCOR Technologies, Inc."	NYSE:FLT	Data Processing and Outsourced Services	IQ28756
"FLIR Systems, Inc."	NasdaqGS:FLIR	Electronic Equipment and Instruments	IQ327408
Flowserve Corporation	NYSE:FLS	Industrial Machinery	IQ267555
FMC Corporation	NYSE:FMC	Fertilizers and Agricultural Chemicals	IQ28606
Ford Motor Company	NYSE:F	Automobile Manufacturers	IQ106335
"Fortinet, Inc."	NasdaqGS:FTNT	Systems Software	IQ2689126
Fortive Corporation	NYSE:FTV	Industrial Machinery	IQ318505463
"Fortune Brands Home & Security, Inc."	NYSE:FBHS	Building Products	IQ33174798
Fox Corporation	NasdaqGS:FOX	Broadcasting	IQ546623668
Fox Corporation	NasdaqGS:FOXA	Broadcasting	IQ546623668
"Franklin Resources, Inc."	NYSE:BEN	Asset Management and Custody Banks	IQ28703
Freeport-McMoRan Inc.	NYSE:FCX	Copper	IQ273607
Garmin Ltd.	NasdaqGS:GRMN	Consumer Electronics	IQ598655
"Gartner, Inc."	NYSE:IT	IT Consulting and Other Services	IQ130705
General Dynamics Corporation	NYSE:GD	Aerospace and Defense	IQ274561
General Electric Company	NYSE:GE	Industrial Conglomerates	IQ177031
"General Mills, Inc."	NYSE:GIS	Packaged Foods and Meats	IQ274715
General Motors Company	NYSE:GM	Automobile Manufacturers	IQ61206100
Genuine Parts Company	NYSE:GPC	Distributors	IQ275034
"Gilead Sciences, Inc."	NasdaqGS:GILD	Biotechnology	IQ29002
Global Payments Inc.	NYSE:GPN	Data Processing and Outsourced Services	IQ813574
Globe Life Inc.	NYSE:GL	Life and Health Insurance	IQ308916
"H&R Block, Inc."	NYSE:HRB	Specialized Consumer Services	IQ276601
Halliburton Company	NYSE:HAL	Oil and Gas Equipment and Services	IQ177698
Hanesbrands Inc.	NYSE:HBI	"Apparel, Accessories and Luxury Goods"	IQ4212820
"Hasbro, Inc."	NasdaqGS:HAS	Leisure Products	IQ277746
"HCA Healthcare, Inc."	NYSE:HCA	Health Care Facilities	IQ261825
"Healthpeak Properties, Inc."	NYSE:PEAK	Health Care REITs	IQ277966
"Henry Schein, Inc."	NasdaqGS:HSIC	Health Care Distributors	IQ339447
Hess Corporation	NYSE:HES	Oil and Gas Exploration and Production	IQ249841
Hewlett Packard Enterprise Company	NYSE:HPE	"Technology Hardware, Storage and Peripherals"	IQ273983758
Hilton Worldwide Holdings Inc.	NYSE:HLT	"Hotels, Resorts and Cruise Lines"	IQ29470
HollyFrontier Corporation	NYSE:HFC	Oil and Gas Refining and Marketing	IQ178254
"Hologic, Inc."	NasdaqGS:HOLX	Health Care Equipment	IQ108544
Honeywell International Inc.	NYSE:HON	Industrial Conglomerates	IQ1340740
Hormel Foods Corporation	NYSE:HRL	Packaged Foods and Meats	IQ279042
"Host Hotels & Resorts, Inc."	NYSE:HST	Hotel and Resort REITs	IQ29574
Howmet Aerospace Inc.	NYSE:HWM	Aerospace and Defense	IQ416264458
HP Inc.	NYSE:HPQ	"Technology Hardware, Storage and Peripherals"	IQ108856
Humana Inc.	NYSE:HUM	Managed Health Care	IQ29618
Huntington Bancshares Incorporated	NasdaqGS:HBAN	Regional Banks	IQ278614
"Huntington Ingalls Industries, Inc."	NYSE:HII	Aerospace and Defense	IQ363263
IDEX Corporation	NYSE:IEX	Industrial Machinery	IQ29728
"IDEXX Laboratories, Inc."	NasdaqGS:IDXX	Health Care Equipment	IQ29729
IHS Markit Ltd.	NYSE:INFO	Research and Consulting Services	IQ13651733
Illinois Tool Works Inc.	NYSE:ITW	Industrial Machinery	IQ280561
"Illumina, Inc."	NasdaqGS:ILMN	Life Sciences Tools and Services	IQ29753
Incyte Corporation	NasdaqGS:INCY	Biotechnology	IQ332954
Ingersoll Rand Inc.	NYSE:IR	Industrial Machinery	IQ334158
Intel Corporation	NasdaqGS:INTC	Semiconductors	IQ21127
"Intercontinental Exchange, Inc."	NYSE:ICE	Financial Exchanges and Data	IQ1081952
International Business Machines Corporation	NYSE:IBM	IT Consulting and Other Services	IQ112350
International Flavors & Fragrances Inc.	NYSE:IFF	Specialty Chemicals	IQ281407
International Paper Company	NYSE:IP	Paper Packaging	IQ61036
Intuit Inc.	NasdaqGS:INTU	Application Software	IQ21171
"Intuitive Surgical, Inc."	NasdaqGS:ISRG	Health Care Equipment	IQ30239
Invesco Ltd.	NYSE:IVZ	Asset Management and Custody Banks	IQ384779
IPG Photonics Corporation	NasdaqGS:IPGP	Electronic Manufacturing Services	IQ427949
IQVIA Holdings Inc.	NYSE:IQV	Life Sciences Tools and Services	IQ137473239
Iron Mountain Incorporated	NYSE:IRM	Specialized REITs	IQ30292
"J.B. Hunt Transport Services, Inc."	NasdaqGS:JBHT	Trucking	IQ278576
"Jack Henry & Associates, Inc."	NasdaqGS:JKHY	Data Processing and Outsourced Services	IQ277617
Jacobs Engineering Group Inc.	NYSE:J	Construction and Engineering	IQ282159
Johnson & Johnson	NYSE:JNJ	Pharmaceuticals	IQ139677
Johnson Controls International plc	NYSE:JCI	Building Products	IQ282590
JPMorgan Chase & Co.	NYSE:JPM	Diversified Banks	IQ658776
"Juniper Networks, Inc."	NYSE:JNPR	Communications Equipment	IQ30439
Kansas City Southern	NYSE:KSU	Railroads	IQ30472
Kellogg Company	NYSE:K	Packaged Foods and Meats	IQ283356
KeyCorp	NYSE:KEY	Regional Banks	IQ329376
"Keysight Technologies, Inc."	NYSE:KEYS	Electronic Equipment and Instruments	IQ247017859
Kimberly-Clark Corporation	NYSE:KMB	Household Products	IQ283857
Kimco Realty Corporation	NYSE:KIM	Retail REITs	IQ320371
"Kinder Morgan, Inc."	NYSE:KMI	Oil and Gas Storage and Transportation	IQ34952431
KLA Corporation	NasdaqGS:KLAC	Semiconductor Equipment	IQ282225
Kohl's Corporation	NYSE:KSS	Department Stores	IQ61243
"L Brands, Inc."	NYSE:LB	Apparel Retail	IQ285544
"L3Harris Technologies, Inc."	NYSE:LHX	Aerospace and Defense	IQ177934
Laboratory Corporation of America Holdings	NYSE:LH	Health Care Services	IQ30643
Lam Research Corporation	NasdaqGS:LRCX	Semiconductor Equipment	IQ30655
"Lamb Weston Holdings, Inc."	NYSE:LW	Packaged Foods and Meats	IQ374372246
Las Vegas Sands Corp.	NYSE:LVS	Casinos and Gaming	IQ3632895
"Leggett & Platt, Incorporated"	NYSE:LEG	Home Furnishings	IQ30760
"Leidos Holdings, Inc."	NYSE:LDOS	IT Consulting and Other Services	IQ110741
Lennar Corporation	NYSE:LEN	Homebuilding	IQ30763
Lincoln National Corporation	NYSE:LNC	Life and Health Insurance	IQ867423
Linde plc	NYSE:LIN	Industrial Gases	IQ318049
"Live Nation Entertainment, Inc."	NYSE:LYV	Movies and Entertainment	IQ384687
LKQ Corporation	NasdaqGS:LKQ	Distributors	IQ4303924
Lockheed Martin Corporation	NYSE:LMT	Aerospace and Defense	IQ285827
Loews Corporation	NYSE:L	Property and Casualty Insurance	IQ285930
"Lowe's Companies, Inc."	NYSE:LOW	Home Improvement Retail	IQ180871
LyondellBasell Industries N.V.	NYSE:LYB	Commodity Chemicals	IQ792424
M&T Bank Corporation	NYSE:MTB	Regional Banks	IQ272285
Marathon Oil Corporation	NYSE:MRO	Oil and Gas Exploration and Production	IQ314842
Marathon Petroleum Corporation	NYSE:MPC	Oil and Gas Refining and Marketing	IQ118315802
MarketAxess Holdings Inc.	NasdaqGS:MKTX	Financial Exchanges and Data	IQ109450
"Marriott International, Inc."	NasdaqGS:MAR	"Hotels, Resorts and Cruise Lines"	IQ31148
"Marsh & McLennan Companies, Inc."	NYSE:MMC	Insurance Brokers	IQ473342
"Martin Marietta Materials, Inc."	NYSE:MLM	Construction Materials	IQ31153
Masco Corporation	NYSE:MAS	Building Products	IQ181478
Mastercard Incorporated	NYSE:MA	Data Processing and Outsourced Services	IQ6477196
"Maxim Integrated Products, Inc."	NasdaqGS:MXIM	Semiconductors	IQ95673
"McCormick & Company, Incorporated"	NYSE:MKC	Packaged Foods and Meats	IQ181176
McDonald's Corporation	NYSE:MCD	Restaurants	IQ139488
McKesson Corporation	NYSE:MCK	Health Care Distributors	IQ288195
Medtronic plc	NYSE:MDT	Health Care Equipment	IQ31348
"Merck & Co., Inc."	NYSE:MRK	Pharmaceuticals	IQ288502
"MetLife, Inc."	NYSE:MET	Life and Health Insurance	IQ185648
Mettler-Toledo International Inc.	NYSE:MTD	Life Sciences Tools and Services	IQ31468
MGM Resorts International	NYSE:MGM	Casinos and Gaming	IQ286798
Microchip Technology Incorporated	NasdaqGS:MCHP	Semiconductors	IQ31500
"Micron Technology, Inc."	NasdaqGS:MU	Semiconductors	IQ289030
Microsoft Corporation	NasdaqGS:MSFT	Systems Software	IQ21835
"Mid-America Apartment Communities, Inc."	NYSE:MAA	Residential REITs	IQ332358
"Mohawk Industries, Inc."	NYSE:MHK	Home Furnishings	IQ31670
Molson Coors Beverage Company	NYSE:TAP	Brewers	IQ263765
"Mondelez International, Inc."	NasdaqGS:MDLZ	Packaged Foods and Meats	IQ739693
Monster Beverage Corporation	NasdaqGS:MNST	Soft Drinks	IQ343729
Moody's Corporation	NYSE:MCO	Financial Exchanges and Data	IQ528325
Morgan Stanley	NYSE:MS	Investment Banking and Brokerage	IQ472898
"Motorola Solutions, Inc."	NYSE:MSI	Communications Equipment	IQ99186
MSCI Inc.	NYSE:MSCI	Financial Exchanges and Data	IQ7844318
"Mylan, Inc."	NasdaqGS:MYL	Pharmaceuticals	IQ290203
"Nasdaq, Inc."	NasdaqGS:NDAQ	Financial Exchanges and Data	IQ740535
"National Oilwell Varco, Inc."	NYSE:NOV	Oil and Gas Equipment and Services	IQ31900
"NetApp, Inc."	NasdaqGS:NTAP	"Technology Hardware, Storage and Peripherals"	IQ32052
"Netflix, Inc."	NasdaqGS:NFLX	Movies and Entertainment	IQ32012
Newell Brands Inc.	NasdaqGS:NWL	Housewares and Specialties	IQ291703
Newmont Corporation	NYSE:NEM	Gold	IQ291795
News Corporation	NasdaqGS:NWSA	Publishing	IQ212741644
News Corporation	NasdaqGS:NWS	Publishing	IQ212741644
"NextEra Energy, Inc."	NYSE:NEE	Electric Utilities	IQ270586
Nielsen Holdings plc	NYSE:NLSN	Research and Consulting Services	IQ422760
"NIKE, Inc."	NYSE:NKE	Footwear	IQ291981
NiSource Inc.	NYSE:NI	Multi-Utilities	IQ292092
"Noble Energy, Inc."	NasdaqGS:NBL	Oil and Gas Exploration and Production	IQ292135
Norfolk Southern Corporation	NYSE:NSC	Railroads	IQ292268
Northern Trust Corporation	NasdaqGS:NTRS	Asset Management and Custody Banks	IQ291896
Northrop Grumman Corporation	NYSE:NOC	Aerospace and Defense	IQ97199
NortonLifeLock Inc.	NasdaqGS:NLOK	Systems Software	IQ35000
Norwegian Cruise Line Holdings Ltd.	NYSE:NCLH	"Hotels, Resorts and Cruise Lines"	IQ4180463
"NRG Energy, Inc."	NYSE:NRG	Electric Utilities	IQ413857
Nucor Corporation	NYSE:NUE	Steel	IQ184945
NVIDIA Corporation	NasdaqGS:NVDA	Semiconductors	IQ32307
"NVR, Inc."	NYSE:NVR	Homebuilding	IQ182505
Occidental Petroleum Corporation	NYSE:OXY	Integrated Oil and Gas	IQ293286
"Old Dominion Freight Line, Inc."	NasdaqGS:ODFL	Trucking	IQ319404
Omnicom Group Inc.	NYSE:OMC	Advertising	IQ96161
"ONEOK, Inc."	NYSE:OKE	Oil and Gas Storage and Transportation	IQ293889
Oracle Corporation	NYSE:ORCL	Systems Software	IQ22247
"O'Reilly Automotive, Inc."	NasdaqGS:ORLY	Automotive Retail	IQ324289
Otis Worldwide Corporation	NYSE:OTIS	Industrial Machinery	IQ159264
PACCAR Inc	NasdaqGS:PCAR	Construction Machinery and Heavy Trucks	IQ294721
Packaging Corporation of America	NYSE:PKG	Paper Packaging	IQ98885
Parker-Hannifin Corporation	NYSE:PH	Industrial Machinery	IQ295170
"Paychex, Inc."	NasdaqGS:PAYX	Data Processing and Outsourced Services	IQ295368
"Paycom Software, Inc."	NYSE:PAYC	Application Software	IQ254225545
"PayPal Holdings, Inc."	NasdaqGS:PYPL	Data Processing and Outsourced Services	IQ112732
Pentair plc	NYSE:PNR	Industrial Machinery	IQ295688
"People's United Financial, Inc."	NasdaqGS:PBCT	Regional Banks	IQ295774
"PepsiCo, Inc."	NasdaqGS:PEP	Soft Drinks	IQ32854
"PerkinElmer, Inc."	NYSE:PKI	Life Sciences Tools and Services	IQ268363
Perrigo Company plc	NYSE:PRGO	Pharmaceuticals	IQ319092
Pfizer Inc.	NYSE:PFE	Pharmaceuticals	IQ162270
Philip Morris International Inc.	NYSE:PM	Tobacco	IQ6569181
Phillips 66	NYSE:PSX	Oil and Gas Refining and Marketing	IQ27306532
Pinnacle West Capital Corporation	NYSE:PNW	Electric Utilities	IQ296957
Pioneer Natural Resources Company	NYSE:PXD	Oil and Gas Exploration and Production	IQ295224
"PPG Industries, Inc."	NYSE:PPG	Specialty Chemicals	IQ294639
PPL Corporation	NYSE:PPL	Electric Utilities	IQ185508
"Principal Financial Group, Inc."	NasdaqGS:PFG	Life and Health Insurance	IQ201105
"Prologis, Inc."	NYSE:PLD	Industrial REITs	IQ330123
"Prudential Financial, Inc."	NYSE:PRU	Life and Health Insurance	IQ1038328
Public Service Enterprise Group Incorporated	NYSE:PEG	Multi-Utilities	IQ298482
Public Storage	NYSE:PSA	Specialized REITs	IQ305520
"PulteGroup, Inc."	NYSE:PHM	Homebuilding	IQ294550
PVH Corp.	NYSE:PVH	"Apparel, Accessories and Luxury Goods"	IQ296568
